Problem type,Reported date,Primary action type,Primary action date,Assessment status,Repair date,Lat,Lng,Case status,Last updated
Markings - defective,2022-08-16 00:00:00,Assess,23/08/2022,Assessed,15/09/2022,57.1985811297107,-2.21393054277087,open,17/08/2022
Pothole,2022-08-17 00:00:00,Assess,24/08/2022,,,57.1560368352645,-2.22555756568909,open,17/08/2022
Markings - defective,2022-08-17 00:00:00,Assess,24/08/2022,,,57.1495330366288,-2.12505117058754,open,17/08/2022
Markings - defective,2022-08-18 00:00:00,Assess,25/08/2022,Assessed,17/09/2022,57.146962312407,-2.12510380050844,open,23/08/2022
Other - road related,2022-08-20 00:00:00,Assess,27/08/2022,,,57.1050802391818,-2.09419564822383,open,20/08/2022
Uneven surface or cracking,2022-08-21 00:00:00,Assess,28/08/2022,,,57.1764679041204,-2.18140840530396,open,21/08/2022
Markings - defective,2022-08-24 00:00:00,Assess,31/08/2022,Assessed,23/09/2022,57.1600183764283,-2.11418285965919,open,24/08/2022
Pothole,2022-08-24 00:00:00,Assess,31/08/2022,,,57.1908819698081,-2.13101506233215,open,24/08/2022
Markings - defective,2022-08-28 00:00:00,Assess,04/09/2022,,,57.1822074575825,-2.0913827419281,open,28/08/2022
Other - road related,2022-08-29 00:00:00,Assess,05/09/2022,,,57.1183373529736,-2.20255628228188,open,29/08/2022
Uneven surface or cracking,2022-08-30 00:00:00,Assess,06/09/2022,,,57.169372802075,-2.12723582983017,open,30/08/2022
Markings - defective,2022-08-30 00:00:00,Assess,06/09/2022,Assessed,29/09/2022,57.1992336657071,-2.21582651138306,open,30/08/2022
Other - road related,2022-08-31 00:00:00,Assess,07/09/2022,,,57.1706402114867,-2.19047427177429,open,31/08/2022
Markings - defective,2022-08-31 00:00:00,Assess,07/09/2022,Assessed,30/09/2022,57.1473877204675,-2.11912214756012,open,07/09/2022
Other - road related,2022-09-01 00:00:00,Assess,08/09/2022,,,57.1463308061737,-2.16002583503723,open,01/09/2022
Other - road related,2022-09-02 00:00:00,Assess,09/09/2022,,,57.1765743567447,-2.17162638902664,open,02/09/2022
Other - road related,2022-09-03 00:00:00,Assess,10/09/2022,,,57.1190466228088,-2.17726707458496,open,03/09/2022
Uneven surface or cracking,2022-09-05 00:00:00,Assess,12/09/2022,,,57.2001855834479,-2.09750890731812,open,05/09/2022
Other - road related,2022-09-06 00:00:00,Assess,13/09/2022,,,57.1921989843225,-2.13290601968765,open,06/09/2022
Markings - defective,2022-09-07 00:00:00,Assess,14/09/2022,,,57.1410356881204,-2.11369872093201,open,07/09/2022
Pothole,2022-09-07 00:00:00,Assess,14/09/2022,,,57.155878514564,-2.1148681640625,open,07/09/2022
Markings - defective,2022-09-09 00:00:00,Assess,16/09/2022,,,57.1449590349031,-2.09944546222687,open,09/09/2022
Markings - defective,2022-09-09 00:00:00,Assess,16/09/2022,Assessed,10/10/2022,57.1250402181079,-2.08846986301978,open,13/09/2022
Lit bollard - damaged or missing,2022-09-13 00:00:00,Assess,20/09/2022,,,57.1210444793509,-2.10344463586807,open,13/09/2022
Other - road related,2022-09-13 00:00:00,Assess,20/09/2022,,,57.144731359397,-2.09756791591644,open,13/09/2022
Pothole,2022-09-13 00:00:00,Assess,20/09/2022,,,57.1614651502244,-2.12645530700684,open,13/09/2022
Pothole,2022-09-14 00:00:00,Assess,21/09/2022,,,57.1373902697218,-2.06743061542511,open,14/09/2022
Uneven surface or cracking,2022-09-15 00:00:00,Assess,22/09/2022,,,57.1482950313021,-2.09291495382786,open,15/09/2022
Markings - defective,2022-09-15 00:00:00,Assess,22/09/2022,,,57.1268949719031,-2.12745979428291,open,15/09/2022
Pothole,2022-09-15 00:00:00,Assess,22/09/2022,Assessed,15/10/2022,57.1695757731813,-2.12516784667969,open,21/09/2022
Pothole,2022-09-17 00:00:00,Assess,24/09/2022,,,57.1812802398905,-2.10019659999261,open,17/09/2022
Other - road related,2022-09-19 00:00:00,Assess,26/09/2022,,,57.1838458943597,-2.10525512695313,open,19/09/2022
Other - road related,2022-09-20 00:00:00,Assess,27/09/2022,,,57.1202298803793,-2.09896802902222,open,20/09/2022
Uneven surface or cracking,2022-09-21 00:00:00,Assess,28/09/2022,,,57.1293670290362,-2.13419616222382,open,21/09/2022
Pothole,2022-09-21 00:00:00,Assess,28/09/2022,,,57.150078917539,-2.17351198196411,open,21/09/2022
Markings - defective,2022-09-24 00:00:00,Assess,01/10/2022,Assessed,24/10/2022,57.1562999800466,-2.09097685416054,open,26/09/2022
Other - road related,2022-09-26 00:00:00,Assess,03/10/2022,,,57.202366254404,-2.17480748892342,open,26/09/2022
Other - road related,2022-09-27 00:00:00,Assess,04/10/2022,,,57.1327912856366,-2.09969271314549,open,27/09/2022
Oil or Fuel spill,2022-09-27 00:00:00,Make safe,27/09/2022,,,57.1740209085669,-2.21002489328384,open,27/09/2022
Pothole,2022-09-27 00:00:00,Assess,04/10/2022,,,57.1294760440144,-2.12353706359863,open,27/09/2022
Other - road related,2022-09-28 00:00:00,Assess,05/10/2022,,,57.1225191254654,-2.11314082145691,open,28/09/2022
Pothole,2022-09-29 00:00:00,Assess,06/10/2022,,,57.1694902093184,-2.1012931934365,open,29/09/2022
Other - road related,2022-09-30 00:00:00,Assess,07/10/2022,,,57.1493805404788,-2.17494964599609,open,30/09/2022
Pothole,2022-10-03 00:00:00,Assess,10/10/2022,,,57.0961152761997,-2.26527705788612,open,03/10/2022
Pothole,2022-10-04 00:00:00,Assess,11/10/2022,,,57.1723345519108,-2.18635976314545,open,04/10/2022
Markings - defective,2022-10-04 00:00:00,Assess,11/10/2022,Assessed,04/11/2022,57.1469477574421,-2.21991419792175,open,05/10/2022
Other - road related,2022-10-04 00:00:00,Assess,11/10/2022,,,57.1606202974048,-2.11504384875298,open,05/10/2022
Pothole,2022-10-05 00:00:00,Assess,12/10/2022,,,57.142097446374,-2.12618172168732,open,05/10/2022
Markings - defective,2022-10-05 00:00:00,Assess,12/10/2022,,,57.1223473144508,-2.11727142333984,open,05/10/2022
Other - road related,2022-10-05 00:00:00,Assess,12/10/2022,,,57.1311137730858,-2.11462944746017,open,05/10/2022
Pothole,2022-10-07 00:00:00,Assess,14/10/2022,,,57.1483128983469,-2.22412794828415,open,07/10/2022
Markings - defective,2022-10-07 00:00:00,Assess,14/10/2022,Assessed,06/11/2022,57.1820138457752,-2.09111452102661,open,07/10/2022
Other - road related,2022-10-10 00:00:00,Assess,17/10/2022,,,57.1424706865214,-2.10055589675903,open,10/10/2022
Pothole,2022-10-10 00:00:00,Assess,17/10/2022,,,57.1015348157234,-2.25766897201538,open,10/10/2022
Other - road related,2022-10-11 00:00:00,Assess,18/10/2022,,,57.1465566620954,-2.21959233283997,open,11/10/2022
Other - road related,2022-10-12 00:00:00,Assess,19/10/2022,,,57.1163573186182,-2.07010477781296,open,12/10/2022
Pothole,2022-10-13 00:00:00,Assess,20/10/2022,,,57.1490580458812,-2.11173936724663,open,13/10/2022
Other - road related,2022-10-13 00:00:00,Assess,20/10/2022,,,57.1505200340684,-2.16490745544434,open,13/10/2022
Other - road related,2022-10-15 00:00:00,Assess,22/10/2022,,,57.1516560372294,-2.1742308139801,open,15/10/2022
Other - road sign related,2022-10-15 00:00:00,Assess,22/10/2022,,,57.1479063578042,-2.1001535654068,open,15/10/2022
Other - road related,2022-10-16 00:00:00,Assess,23/10/2022,,,57.1700015888193,-2.22155570992072,open,16/10/2022
Uneven surface or cracking,2022-10-17 00:00:00,Assess,24/10/2022,,,57.2217265848856,-2.24270224571228,open,17/10/2022
Other - road related,2022-10-19 00:00:00,Assess,26/10/2022,,,57.1201952411752,-2.14706540107727,open,19/10/2022
Uneven surface or cracking,2022-10-19 00:00:00,Assess,26/10/2022,,,57.2001998860924,-2.09746867418289,open,19/10/2022
Markings - defective,2022-10-20 00:00:00,Assess,27/10/2022,,,57.1521891850461,-2.11142420768738,open,20/10/2022
Other - road related,2022-10-20 00:00:00,Assess,27/10/2022,,,57.1578231688312,-2.15044498443603,open,20/10/2022
Markings - defective,2022-10-24 00:00:00,Assess,31/10/2022,Assessed,23/11/2022,57.1482433534494,-2.11469113826752,open,25/10/2022
"Cobbles - damaged, missing or uneven",2022-10-24 00:00:00,Assess,31/10/2022,,,57.1441394160557,-2.10021324455738,open,24/10/2022
Other - road related,2022-10-25 00:00:00,Assess,01/11/2022,,,57.1458231596058,-2.15705394744873,open,25/10/2022
Other - road related,2022-10-26 00:00:00,Assess,02/11/2022,,,57.1493310716037,-2.12426662445068,open,26/10/2022
Pothole,2022-10-26 00:00:00,Assess,02/11/2022,,,57.1523238649571,-2.13188678026199,open,26/10/2022
Other - road related,2022-10-27 00:00:00,Assess,03/11/2022,,,57.1122462039663,-2.11652308702469,open,27/10/2022
Other - road related,2022-10-27 00:00:00,Assess,03/11/2022,Assessed,27/11/2022,57.092481408801,-2.09987998008728,open,08/11/2022
Other - road related,2022-10-28 00:00:00,Assess,04/11/2022,,,57.1583246503793,-2.14479357004166,open,28/10/2022
Pothole,2022-10-30 00:00:00,Assess,06/11/2022,,,57.1259585451138,-2.12310791015625,open,30/10/2022
Markings - defective,2022-10-31 00:00:00,Assess,07/11/2022,Assessed,30/11/2022,57.1444353177684,-2.10872322320938,open,03/11/2022
Pothole,2022-11-01 00:00:00,Assess,08/11/2022,,,57.1008378861707,-2.26368114352226,open,01/11/2022
Other - road related,2022-11-01 00:00:00,Assess,08/11/2022,,,57.1846315508114,-2.19711111799825,open,01/11/2022
Markings - defective,2022-11-02 00:00:00,Assess,09/11/2022,Assessed,03/12/2022,57.1961659121398,-2.20930337905884,open,25/01/2023
Uneven surface or cracking,2022-11-04 00:00:00,Assess,11/11/2022,,,57.2219924187771,-2.27390170097351,open,04/11/2022
Other - road related,2022-11-04 00:00:00,Assess,11/11/2022,,,57.117438988728,-2.17526078224182,open,04/11/2022
Markings - defective,2022-11-04 00:00:00,Assess,11/11/2022,,,57.1153682021603,-2.18423007918091,open,04/11/2022
Pothole,2022-11-05 00:00:00,Assess,12/11/2022,,,57.1343365904992,-2.18791007995605,open,05/11/2022
Pothole,2022-11-07 00:00:00,Assess,14/11/2022,,,57.1692674875111,-2.14063882827759,open,07/11/2022
Other - road related,2022-11-07 00:00:00,Assess,14/11/2022,,,57.1706623700958,-2.19094919016243,open,07/11/2022
Markings - defective,2022-11-07 00:00:00,Assess,14/11/2022,Assessed,07/12/2022,57.1467621760524,-2.07976877689362,open,08/11/2022
Pothole,2022-11-09 00:00:00,Assess,16/11/2022,,,57.1176598917041,-2.18724489212036,open,09/11/2022
Markings - defective,2022-11-09 00:00:00,Assess,16/11/2022,Assessed,10/12/2022,57.162022757069,-2.15032026171684,open,25/01/2023
Pothole,2022-11-10 00:00:00,Assess,17/11/2022,,,57.1776990647346,-2.15868473052979,open,10/11/2022
Markings - defective,2022-11-10 00:00:00,Assess,17/11/2022,,,57.1589331589404,-2.10913896560669,open,10/11/2022
Pothole,2022-11-11 00:00:00,Assess,18/11/2022,,,57.1366188798325,-2.09690272808075,open,11/11/2022
Other - road related,2022-11-11 00:00:00,Assess,18/11/2022,,,57.1574020232843,-2.12859772145748,open,11/11/2022
Markings - defective,2022-11-12 00:00:00,Assess,19/11/2022,,,57.1372925051299,-2.08796560764313,open,12/11/2022
Subsidence,2022-11-14 00:00:00,Make safe,14/11/2022,,,57.1432911888169,-2.15884566307068,open,14/11/2022
Other - road related,2022-11-15 00:00:00,Assess,22/11/2022,,,57.1737536902576,-2.19050109386444,open,15/11/2022
Pothole,2022-11-17 00:00:00,Assess,24/11/2022,,,57.1668243780814,-2.09713339805603,open,17/11/2022
Other - road related,2022-11-17 00:00:00,Assess,24/11/2022,,,57.2170480795241,-2.19374656677246,open,17/11/2022
Uneven surface or cracking,2022-11-17 00:00:00,Assess,24/11/2022,,,57.2024411555408,-2.09197819232941,open,17/11/2022
Pothole,2022-11-18 00:00:00,Assess,25/11/2022,,,57.1636422768299,-2.13656187057495,open,18/11/2022
Pothole,2022-11-18 00:00:00,Assess,25/11/2022,Assessed,18/12/2022,57.1213705791682,-2.18163371086121,open,02/12/2022
Pothole,2022-11-20 00:00:00,Assess,27/11/2022,,,57.1857089214716,-2.11089313030243,open,20/11/2022
Markings - defective,2022-11-21 00:00:00,Assess,28/11/2022,,,57.204000333754,-2.21123456954956,open,21/11/2022
Pothole,2022-11-22 00:00:00,Assess,29/11/2022,,,57.1857298614824,-2.11015820503235,open,22/11/2022
Other - road related,2022-11-22 00:00:00,Assess,29/11/2022,,,57.1937539719482,-2.09397912025452,open,22/11/2022
Markings - defective,2022-11-23 00:00:00,Assess,30/11/2022,Assessed,23/12/2022,57.1575405400822,-2.10385769605637,open,29/11/2022
Uneven surface or cracking,2022-11-23 00:00:00,Assess,30/11/2022,,,57.1465043855044,-2.0913827419281,open,23/11/2022
Markings - defective,2022-11-25 00:00:00,Assess,02/12/2022,,,57.1250629818275,-2.09962248802185,open,25/11/2022
Oil or Fuel spill,2022-11-26 00:00:00,Make safe,26/11/2022,,,57.1418042118628,-2.14570552110672,open,26/11/2022
Pothole,2022-11-26 00:00:00,Assess,03/12/2022,,,57.1657541217069,-2.16968715190887,open,26/11/2022
Pothole,2022-11-27 00:00:00,Assess,04/12/2022,,,57.1857263639109,-2.11064636707306,open,27/11/2022
Other - road related,2022-11-28 00:00:00,Assess,05/12/2022,,,57.1189808225796,-2.09522366523743,open,28/11/2022
Pothole,2022-11-29 00:00:00,Assess,06/12/2022,,,57.134253849637,-2.18475273752119,open,29/11/2022
Other - road related,2022-11-29 00:00:00,Assess,06/12/2022,,,57.1253238639597,-2.14280605316162,open,29/11/2022
Other - road related,2022-11-30 00:00:00,Assess,07/12/2022,,,57.1743925501889,-2.14732940696194,open,30/11/2022
Pothole,2022-11-30 00:00:00,Assess,07/12/2022,,,57.129326586378,-2.18327522277832,open,30/11/2022
Markings - defective,2022-12-01 00:00:00,Assess,08/12/2022,Assessed,31/12/2022,57.1192271860463,-2.1183443069458,open,01/12/2022
Pothole,2022-12-02 00:00:00,Assess,09/12/2022,,,57.161641251391,-2.14045788091425,open,02/12/2022
Pothole,2022-12-05 00:00:00,Assess,12/12/2022,,,57.1454116655266,-2.14415520429611,open,05/12/2022
Markings - defective,2022-12-05 00:00:00,Assess,12/12/2022,Assessed,04/01/2023,57.1495754740314,-2.11871041501126,open,25/01/2023
Other - road related,2022-12-05 00:00:00,Assess,12/12/2022,,,57.1294828976897,-2.20332741737366,open,05/12/2022
Other - road related,2022-12-06 00:00:00,Assess,13/12/2022,,,57.1477904104042,-2.24447250366211,open,06/12/2022
Uneven surface or cracking,2022-12-07 00:00:00,Assess,14/12/2022,,,57.152740813578,-2.11212158203125,open,07/12/2022
Pothole,2022-12-07 00:00:00,Assess,14/12/2022,,,57.2023231997723,-2.09195137023926,open,07/12/2022
Other - road related,2022-12-07 00:00:00,Assess,14/12/2022,,,57.1734803358784,-2.11786150932312,open,07/12/2022
Other - road related,2022-12-10 00:00:00,Assess,17/12/2022,,,57.200263606621,-2.18380971865372,open,10/12/2022
Pothole,2022-12-11 00:00:00,Assess,18/12/2022,,,57.1692476412347,-2.10899949073792,open,11/12/2022
"Cobbles - damaged, missing or uneven",2022-12-12 00:00:00,Assess,19/12/2022,,,57.1441452367434,-2.10019513964653,open,12/12/2022
Other - road related,2022-12-12 00:00:00,Assess,19/12/2022,,,57.1655271376936,-2.1726268529892,open,12/12/2022
Pothole,2022-12-12 00:00:00,Assess,19/12/2022,,,57.1456308844187,-2.14432941214682,open,12/12/2022
Pothole,2022-12-13 00:00:00,Assess,20/12/2022,,,57.1583874108373,-2.13558554649353,open,13/12/2022
Other - road related,2022-12-14 00:00:00,Assess,21/12/2022,,,57.1692270884466,-2.15697348117828,open,14/12/2022
Other - road related,2022-12-15 00:00:00,Assess,22/12/2022,,,57.1506842277338,-2.182856798172,open,15/12/2022
Other - road related,2022-12-16 00:00:00,Assess,23/12/2022,,,57.1292709037257,-2.19052791595459,open,16/12/2022
Pothole,2022-12-18 00:00:00,Assess,25/12/2022,,,57.1856362445526,-2.10986316204071,open,18/12/2022
Other - road related,2022-12-19 00:00:00,Assess,26/12/2022,,,57.1454111804711,-2.09563136100769,open,19/12/2022
Pothole,2022-12-19 00:00:00,Assess,26/12/2022,,,57.1856112164055,-2.10984170436859,open,19/12/2022
Pothole,2022-12-20 00:00:00,Assess,27/12/2022,,,57.119020141224,-2.10217881314975,open,20/12/2022
Markings - defective,2022-12-20 00:00:00,Assess,27/12/2022,Assessed,20/01/2023,57.122376395649,-2.11656671461071,open,09/01/2023
Pothole,2022-12-21 00:00:00,Assess,28/12/2022,,,57.1784776851822,-2.11830139160156,open,21/12/2022
Markings - defective,2022-12-21 00:00:00,Assess,28/12/2022,Assessed,21/01/2023,57.1789519913834,-2.15143203735352,open,25/01/2023
Uneven surface or cracking,2022-12-22 00:00:00,Assess,29/12/2022,,,57.1316329151917,-2.08409786224365,open,22/12/2022
Other - road related,2022-12-24 00:00:00,Assess,31/12/2022,Assessed,23/01/2023,57.1763724917766,-2.10044860839844,open,05/01/2023
Markings - defective,2022-12-24 00:00:00,Assess,31/12/2022,Assessed,23/01/2023,57.178882182519,-2.15121523338098,open,25/01/2023
Other - road related,2022-12-24 00:00:00,Assess,31/12/2022,,,57.145766228546,-2.09707975387573,open,24/12/2022
Overhanging vegetation,2022-12-29 00:00:00,Assess,05/01/2023,,,57.1474808518008,-2.19919681549072,open,29/12/2022
Other - road related,2022-12-29 00:00:00,Assess,05/01/2023,,,57.1941011447094,-2.09658622741699,open,29/12/2022
Pothole,2022-12-29 00:00:00,Assess,05/01/2023,,,57.1656423477886,-2.17367559671402,open,29/12/2022
Markings - defective,2023-01-02 00:00:00,Assess,09/01/2023,Assessed,01/02/2023,57.1598570666502,-2.08687813952565,open,25/01/2023
Pothole,2023-01-02 00:00:00,Assess,09/01/2023,,,57.1345612221272,-2.1865834082837,open,02/01/2023
Pothole,2023-01-04 00:00:00,Assess,11/01/2023,,,57.1539256110988,-2.08117961883545,open,04/01/2023
Markings - defective,2023-01-04 00:00:00,Assess,11/01/2023,Assessed,03/02/2023,57.152933990453,-2.10304560938198,open,04/01/2023
Uneven surface or cracking,2023-01-04 00:00:00,Assess,11/01/2023,,,57.1647359732298,-2.13865399360657,open,04/01/2023
Pothole,2023-01-04 00:00:00,Assess,11/01/2023,Assessed,03/02/2023,57.0970386560465,-2.10367865860462,open,06/01/2023
Markings - defective,2023-01-04 00:00:00,Assess,11/01/2023,,,57.1052455289059,-2.07813262939453,open,04/01/2023
Other - road related,2023-01-04 00:00:00,Assess,11/01/2023,,,57.1669203831503,-2.09655404090881,open,04/01/2023
Pothole,2023-01-05 00:00:00,Assess,12/01/2023,,,57.1804453801142,-2.12954521179199,open,05/01/2023
Markings - defective,2023-01-06 00:00:00,Assess,13/01/2023,Assessed,05/02/2023,57.1453605694729,-2.14909046888351,open,25/01/2023
Pothole,2023-01-06 00:00:00,Assess,13/01/2023,,,57.1344481565414,-2.18785107135773,open,06/01/2023
Uneven surface or cracking,2023-01-07 00:00:00,Assess,14/01/2023,,,57.1564076767749,-2.16107189655304,open,07/01/2023
Markings - defective,2023-01-07 00:00:00,Assess,14/01/2023,,,57.1453663786005,-2.12239822931224,open,07/01/2023
Other - pavement or path related,2023-01-08 00:00:00,Assess,15/01/2023,,,57.1676787560704,-2.08980695258333,open,08/01/2023
Pothole,2023-01-08 00:00:00,Assess,15/01/2023,,,57.2032816059088,-2.09338545804712,open,08/01/2023
Pothole,2023-01-09 00:00:00,Assess,16/01/2023,,,57.150275072279,-2.16495975852013,open,09/01/2023
Uneven surface or cracking,2023-01-10 00:00:00,Assess,17/01/2023,,,57.1011472923745,-2.26922929286957,open,10/01/2023
Markings - defective,2023-01-10 00:00:00,Assess,17/01/2023,Assessed,10/02/2023,57.1508449304092,-2.09384366869926,open,11/01/2023
Markings - defective,2023-01-11 00:00:00,Assess,18/01/2023,,,57.1400327193002,-2.13340759277344,open,11/01/2023
Pothole,2023-01-11 00:00:00,Assess,18/01/2023,,,57.1345489534594,-2.18344286084175,open,11/01/2023
Markings - defective,2023-01-12 00:00:00,Assess,19/01/2023,Assessed,11/02/2023,57.1987930696143,-2.2142493724823,open,12/01/2023
Pothole,2023-01-12 00:00:00,Assess,19/01/2023,,,57.1434596133608,-2.17682182788849,open,12/01/2023
Pothole,2023-01-13 00:00:00,Assess,20/01/2023,,,57.1780732026291,-2.19211575575343,open,13/01/2023
Markings - defective,2023-01-13 00:00:00,Assess,20/01/2023,Assessed,13/02/2023,57.1566917449759,-2.10167840123177,open,16/01/2023
Pothole,2023-01-14 00:00:00,Assess,21/01/2023,,,57.1115600730343,-2.21172004938126,open,14/01/2023
Pothole,2023-01-15 00:00:00,Assess,22/01/2023,,,57.1345066174227,-2.18729853630066,open,15/01/2023
Pothole,2023-01-16 00:00:00,Assess,23/01/2023,,,57.1821527630312,-2.22861528396606,open,16/01/2023
Pothole,2023-01-17 00:00:00,Assess,24/01/2023,,,57.157206398915,-2.12080121040344,open,17/01/2023
Markings - defective,2023-01-17 00:00:00,Assess,24/01/2023,,,57.148873178725,-2.16349124908447,open,17/01/2023
Other - road related,2023-01-17 00:00:00,Assess,24/01/2023,,,57.1012288765741,-2.08672106266022,open,17/01/2023
Pothole,2023-01-18 00:00:00,Assess,25/01/2023,Assessed,17/02/2023,57.1660378769922,-2.17528223991394,open,26/01/2023
Pothole,2023-01-18 00:00:00,Assess,25/01/2023,,,57.1345229013942,-2.18331813812256,open,18/01/2023
Other - road related,2023-01-18 00:00:00,Assess,25/01/2023,,,57.1026511990375,-2.27654628848313,open,18/01/2023
Markings - defective,2023-01-18 00:00:00,Assess,25/01/2023,Assessed,18/02/2023,57.1690208662126,-2.15369582176208,open,19/01/2023
Pothole,2023-01-20 00:00:00,Assess,27/01/2023,,,57.1925354969562,-2.10689328610897,open,20/01/2023
Other - road related,2023-01-20 00:00:00,Assess,27/01/2023,,,57.1250228833423,-2.16713905334473,open,20/01/2023
Pothole,2023-01-21 00:00:00,Assess,28/01/2023,,,57.0899772121035,-2.10890293121338,open,21/01/2023
Markings - defective,2023-01-22 00:00:00,Assess,29/01/2023,Assessed,21/02/2023,57.1364622802639,-2.11495399475098,open,24/01/2023
Pothole,2023-01-24 00:00:00,Assess,31/01/2023,,,57.1435124703282,-2.09314227104187,open,24/01/2023
Markings - defective,2023-01-24 00:00:00,Assess,31/01/2023,Assessed,24/02/2023,57.1578754294292,-2.10995972156525,open,22/02/2023
Uneven surface or cracking,2023-01-26 00:00:00,Assess,02/02/2023,Assessed,26/02/2023,57.1164895198862,-2.19449758529663,open,16/03/2023
Pothole,2023-01-26 00:00:00,Assess,02/02/2023,,,57.1966475065815,-2.12523221969604,open,26/01/2023
Pothole,2023-01-27 00:00:00,Assess,03/02/2023,Assessed,26/02/2023,57.1680651760991,-2.12239176034927,open,29/03/2023
Other - road related,2023-01-27 00:00:00,Assess,03/02/2023,,,57.1589571192763,-2.10923001170727,open,27/01/2023
Uneven surface or cracking,2023-01-28 00:00:00,Assess,04/02/2023,,,57.213308699362,-2.07869723439217,open,28/01/2023
Pothole,2023-01-28 00:00:00,Assess,04/02/2023,Assessed,28/02/2023,57.1622064784985,-2.21276879310608,open,03/02/2023
Pothole,2023-01-30 00:00:00,Assess,06/02/2023,,,57.1573169527698,-2.1208119392395,open,30/01/2023
Markings - defective,2023-01-30 00:00:00,Assess,06/02/2023,Assessed,02/03/2023,57.1416907146511,-2.11928599880821,open,01/02/2023
Markings - defective,2023-01-31 00:00:00,Assess,07/02/2023,,,57.15721671825,-2.12075815932394,open,31/01/2023
Pothole,2023-02-01 00:00:00,Assess,08/02/2023,,,57.1692078494204,-2.10896730422974,open,01/02/2023
Markings - defective,2023-02-01 00:00:00,Assess,08/02/2023,Assessed,04/03/2023,57.1380434824805,-2.09885805845261,open,24/02/2023
Markings - defective,2023-02-02 00:00:00,Assess,09/02/2023,Assessed,04/03/2023,57.1441357397121,-2.10556626319885,open,02/02/2023
Markings - defective,2023-02-02 00:00:00,Assess,09/02/2023,,,57.1041241343766,-2.08783149719238,open,02/02/2023
Pothole,2023-02-02 00:00:00,Assess,09/02/2023,,,57.1288481859578,-2.237788438797,open,02/02/2023
Uneven surface or cracking,2023-02-02 00:00:00,Assess,09/02/2023,Assessed,04/03/2023,57.169372188593,-2.21317648887634,open,03/02/2023
Markings - defective,2023-02-03 00:00:00,Assess,10/02/2023,,,57.1519021822989,-2.10393292961271,open,03/02/2023
Pothole,2023-02-03 00:00:00,Assess,10/02/2023,,,57.1012528845089,-2.27287173271179,open,03/02/2023
Markings - defective,2023-02-04 00:00:00,Assess,11/02/2023,,,57.1506786764312,-2.11996972560883,open,04/02/2023
Markings - defective,2023-02-04 00:00:00,Assess,11/02/2023,Assessed,06/03/2023,57.1382424467015,-2.11414262652397,open,22/02/2023
Uneven surface or cracking,2023-02-04 00:00:00,Assess,11/02/2023,,,57.1557036003208,-2.22705960273743,open,04/02/2023
Pothole,2023-02-05 00:00:00,Assess,12/02/2023,,,57.1546343676778,-2.16916143894196,open,05/02/2023
Other - road related,2023-02-06 00:00:00,Assess,13/02/2023,,,57.1315720196341,-2.08422660827637,open,06/02/2023
Markings - defective,2023-02-06 00:00:00,Assess,13/02/2023,,,57.1548149760854,-2.10001409053802,open,06/02/2023
Other - road related,2023-02-07 00:00:00,Assess,14/02/2023,,,57.1543969229185,-2.1199643611908,open,07/02/2023
Markings - defective,2023-02-07 00:00:00,Assess,14/02/2023,,,57.1905239393985,-2.11022928357124,open,07/02/2023
Pothole,2023-02-07 00:00:00,Assess,14/02/2023,,,57.1189452376213,-2.19486236572266,open,07/02/2023
Subsidence,2023-02-07 00:00:00,Make safe,07/02/2023,,,57.1543271546022,-2.22003757953644,open,07/02/2023
Other - road related,2023-02-08 00:00:00,Assess,15/02/2023,,,57.1496613705735,-2.12348341941833,open,08/02/2023
Pothole,2023-02-08 00:00:00,Assess,15/02/2023,,,57.1629491373319,-2.11586594581604,open,08/02/2023
Pothole,2023-02-08 00:00:00,Assess,15/02/2023,Assessed,11/03/2023,57.1839966152648,-2.12904095649719,open,22/02/2024
Other - road related,2023-02-09 00:00:00,Assess,16/02/2023,,,57.1555344208621,-2.10928380489349,open,09/02/2023
Uneven surface or cracking,2023-02-09 00:00:00,Assess,16/02/2023,Assessed,11/03/2023,57.1839595596924,-2.12920054793358,open,22/02/2024
Markings - defective,2023-02-09 00:00:00,Assess,16/02/2023,Assessed,11/03/2023,57.1610293415888,-2.10095152258873,open,13/02/2023
Markings - defective,2023-02-10 00:00:00,Assess,17/02/2023,Assessed,12/03/2023,57.1673035558832,-2.10191980004311,open,13/02/2023
Pothole,2023-02-10 00:00:00,Assess,17/02/2023,,,57.174930826718,-2.18664407730103,open,10/02/2023
Markings - defective,2023-02-11 00:00:00,Assess,18/02/2023,Assessed,14/03/2023,57.1288889475886,-2.09241271018982,open,13/02/2023
Pothole,2023-02-13 00:00:00,Assess,20/02/2023,,,57.1937567331024,-2.18745410442352,open,13/02/2023
Other - road related,2023-02-13 00:00:00,Assess,20/02/2023,,,57.1795797335494,-2.09035143256187,open,13/02/2023
Markings - defective,2023-02-13 00:00:00,Assess,20/02/2023,Assessed,15/03/2023,57.2024494732676,-2.09194667637348,open,22/02/2023
Pothole,2023-02-14 00:00:00,Assess,21/02/2023,,,57.1556963519942,-2.22711049020575,open,14/02/2023
Subsidence,2023-02-14 00:00:00,Make safe,14/02/2023,,,57.174046858371,-2.16034218669506,open,14/02/2023
Other - road related,2023-02-14 00:00:00,Assess,21/02/2023,,,57.0989520090247,-2.27954506874084,open,14/02/2023
Markings - defective,2023-02-15 00:00:00,Assess,22/02/2023,,,57.1562445607346,-2.10572814770785,open,15/02/2023
